BLOCK_ID,BLOCK_TIMESTAMP,TX_ID,TX_SUCCEEDED,TX_CALLER_ADDRESS,ACTION,DELEGATOR_ADDRESS,VALIDATOR_ADDRESS,AMOUNT,CURRENCY,REDELEGATE_SOURCE_VALIDATOR_ADDRESS,COMPLETION_TIME,_MSG_GROUP
4722345,11/11/2022,013EE609B5C4E62FDF2DB9666B33F493150C22154BB3263E322A78C3DF076462,TRUE,axelar1wqadhahhquw0nwqczefa5katv7pc4hg8nj06mz,delegate,axelar1wqadhahhquw0nwqczefa5katv7pc4hg8nj06mz,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,1710000,uaxl,null,null,0
4743628,11/12/2022,E5C19237F982B45ED7F4009BCD2BDC9A24F9625DD83BB65827BD928138822FD6,TRUE,axelar1n27hkgh69sm0ldkful4nl8d734dp6vn8nm6e5e,delegate,axelar1n27hkgh69sm0ldkful4nl8d734dp6vn8nm6e5e,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,1972194,uaxl,null,null,0
4744923,11/12/2022,3D5D15FE8D500C3CD2A0D649DF71133135388E8B7C096BE55BF0F4AACFFA66C1,TRUE,axelar1a8e7q0cup4n5er99s9s5hv0j09mj88jvvx9mh9,delegate,axelar1a8e7q0cup4n5er99s9s5hv0j09mj88jvvx9mh9,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,23000000,uaxl,null,null,0
4752819,11/13/2022,E5C2EED765D9FA6743849493237C099C4C6CC2F98C590DC94CAFA845767A5B74,TRUE,axelar1e7x3jkcqnkr53y3xspzlzjssuz8dpgapvdejyy,delegate,axelar1e7x3jkcqnkr53y3xspzlzjssuz8dpgapvdejyy,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,20000000,uaxl,null,null,0
4757389,11/13/2022,580F0073AF3B15309C04FF5231CBDCEB9948C419C907FBE5724ADCD39CC64469,TRUE,axelar1tshpsgtgt8vextqhms3lwz8j6dkqhcwzsqzrqs,undelegate,axelar1tshpsgtgt8vextqhms3lwz8j6dkqhcwzsqzrqs,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,600000000,uaxl,null,56:10.0,0
4757761,11/13/2022,8E040C4E590AE324C62CB9C4BDBFE8BE3EA04A9037CB3D70F2D894EECC59F157,TRUE,axelar1uw6x300jhffzjtlq2lwfxncun5v86ur4t6ul42,delegate,axelar1uw6x300jhffzjtlq2lwfxncun5v86ur4t6ul42,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,9563,uaxl,null,null,0
4760964,11/13/2022,AFDD7A051AA302261C9FB934135469A8974BF79CB2160D498A196167BEEC268B,TRUE,axelar19ps0avvwlucrh28appvck6ccl4wuxp2m90sd8h,delegate,axelar19ps0avvwlucrh28appvck6ccl4wuxp2m90sd8h,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,20000000,uaxl,null,null,0
4767946,11/14/2022,4A019AACE37258125345351D508613CCFBA5FC9B4B76A123A8E7E6E45F029E71,TRUE,axelar16zhha78knnmuzqkc39mfs2wfdjt3tre4aa2dp6,delegate,axelar16zhha78knnmuzqkc39mfs2wfdjt3tre4aa2dp6,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,100000,uaxl,null,null,0
4771164,11/14/2022,F6463F91F9287CA9E1CE3D1CD95E0AF05ADF713C6B5CD1F8E3F389433C8A43C1,TRUE,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,delegate,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,31643,uaxl,null,null,0
4779876,11/15/2022,D4B4AED3244871E59D3999EE54FA96539F430A83C427A7EE78BC0E73F0B80A11,TRUE,axelar18ym4dy9s6cczh3vgpzt3s2qstjynps2rx65gwj,delegate,axelar18ym4dy9s6cczh3vgpzt3s2qstjynps2rx65gwj,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,3000000,uaxl,null,null,0
